"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"49017";0,5;"Very Good";"F";"VVS2";63;57;2052;5,01;5,05;3,17
"36353";0,4;"Very Good";"F";"VS1";63,1;59;938;4,68;4,64;2,94
"19222";1,58;"Premium";"E";"SI2";61;60;7963;7,54;7,51;4,59
"7687";0,65;"Ideal";"D";"VVS2";60,7;57;4275;5,63;5,65;3,42
"20779";1,01;"Premium";"F";"VVS2";62,1;52;9013;6,5;6,45;4,02
"35176";0,31;"Ideal";"G";"IF";61,8;56;891;4,33;4,37;2,69
"19661";1,53;"Very Good";"E";"SI2";59,3;60;8270;7,44;7,46;4,42
"53572";0,71;"Very Good";"F";"VS2";60,6;58;2697;5,74;5,81;3,5
"13643";1,24;"Premium";"F";"SI2";62,8;60;5583;6,84;6,82;4,29
"36381";0,44;"Very Good";"H";"SI1";63,5;57;941;4,85;4,82;3,07
"51496";0,7;"Fair";"F";"VS1";64,5;57;2381;5,65;5,58;3,62
"28928";0,3;"Good";"G";"VVS2";63,6;57;684;4,26;4,3;2,72
"12843";1,06;"Ideal";"F";"SI2";61,8;56;5354;6,56;6,51;4,04
"50173";0,5;"Very Good";"F";"IF";59,7;60;2219;5,18;5,24;3,11
"52879";0,74;"Very Good";"F";"SI1";59,8;58;2583;5,89;5,94;3,54
"31926";0,3;"Very Good";"G";"VS1";63,4;58;776;4,25;4,23;2,69
"3102";0,71;"Ideal";"D";"VS2";61,2;57;3321;5,73;5,77;3,52
"23907";1,61;"Very Good";"G";"SI1";62,6;56;12028;7,44;7,54;4,69
"16111";1,25;"Good";"F";"VS2";63,9;58;6440;6,76;6,71;4,31
"40579";0,5;"Very Good";"G";"SI1";62,3;58;1153;5,06;5,08;3,16
"36134";0,33;"Ideal";"E";"VS2";62;56;928;4,48;4,46;2,77
"26385";2,02;"Very Good";"G";"SI2";62,8;55;15877;8,06;8,11;5,08
"18670";1,12;"Ideal";"G";"VS1";61;56;7632;6,76;6,72;4,11
"36116";0,4;"Very Good";"F";"SI1";59,6;61;927;4,79;4,84;2,87
"1474";0,74;"Ideal";"E";"VS2";62,7;54;2984;5,8;5,77;3,63
"26328";2,01;"Good";"G";"SI2";63,6;59;15832;7,95;8;5,07
"52821";0,7;"Very Good";"F";"SI1";62,4;56;2573;5,63;5,69;3,53
"4657";0,91;"Ideal";"I";"VS1";62,5;55;3669;6,25;6,2;3,89
"23592";1,51;"Premium";"F";"SI1";62,2;59;11607;7,34;7,3;4,55
"5392";0,3;"Premium";"G";"SI1";62,9;59;574;4,28;4,24;2,68
"47367";0,78;"Premium";"H";"SI2";61,1;59;1846;5,91;5,88;3,6
"41384";0,42;"Premium";"F";"VVS2";59,6;59;1221;4,86;4,83;2,89
"36297";0,32;"Very Good";"D";"SI2";62,8;57;477;4,35;4,38;2,74
"11413";0,9;"Premium";"F";"VS1";62,7;58;5000;6,17;6,14;3,86
"21350";1,56;"Very Good";"I";"SI1";61,3;57;9494;7,48;7,54;4,6
"39818";0,5;"Very Good";"E";"SI2";63,2;61;1097;5,05;5,02;3,18
"36856";0,31;"Very Good";"E";"IF";61,6;54;958;4,38;4,42;2,71
