"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"3423";1,02;"Ideal";"G";"I1";61,5;56;3382;6,49;6,46;3,98
"9578";1,35;"Fair";"G";"SI2";66;58;4627;6,89;6,81;4,52
"44378";0,52;"Very Good";"G";"VS1";61,8;58;1581;5,19;5,16;3,2
"2137";0,71;"Ideal";"G";"VS1";61,8;56,1;3123;5,72;5,74;3,54
"41907";0,51;"Very Good";"G";"SI1";59,7;58;1261;5,2;5,26;3,12
"33020";0,33;"Ideal";"E";"VVS2";61,2;56;814;4,46;4,5;2,74
"37327";0,49;"Premium";"F";"SI2";60,8;60;980;5,12;5,04;3,09
"36765";0,3;"Ideal";"E";"VVS1";60,5;57;956;4,39;4,34;2,64
"40645";0,45;"Very Good";"G";"VS1";60;57,1;1154;4,99;5,03;3
"7023";1,36;"Fair";"J";"SI2";67,8;55;4158;6,73;6,66;4,54
"52336";0,74;"Ideal";"H";"VS2";62,5;54;2497;5,76;5,82;3,62
"727";0,34;"Good";"E";"SI1";63,4;55;556;4,44;4,46;2,82
"7315";1,02;"Premium";"H";"SI2";60,9;59;4207;6,46;6,51;3,95
"638";0,73;"Premium";"F";"VS2";59,9;59;2841;5,87;5,77;3,5
"43015";0,55;"Very Good";"F";"SI1";60,5;59;1370;5,29;5,35;3,22
"27242";1,74;"Premium";"G";"VS2";61;58;17614;7,77;7,75;4,73
"13126";1,22;"Good";"I";"VS2";57,2;60;5431;7,07;7,01;4,03
"15872";1;"Good";"G";"VS1";63,6;59;6349;6,3;6,34;4,02
"9030";1,05;"Ideal";"I";"SI1";62,1;59;4516;6,5;6,47;4,03
"51697";0,7;"Very Good";"F";"VS2";61,4;57;2400;5,73;5,76;3,53
"25193";2,61;"Good";"I";"SI2";64,2;63;13784;8,66;8,57;5,53
"13784";1,28;"Premium";"E";"SI2";62,5;58;5620;6,93;6,89;4,32
"36129";0,33;"Ideal";"E";"VS2";60,6;55;928;4,5;4,48;2,72
"50985";0,31;"Good";"E";"SI1";63,1;55;544;4,33;4,36;2,74
"28645";0,33;"Ideal";"J";"VS1";62,1;55;434;4,41;4,44;2,75
"15535";1,05;"Very Good";"E";"SI1";59,7;57;6224;6,63;6,71;3,98
"45208";0,51;"Ideal";"G";"VS1";61,7;55;1656;5,14;5,17;3,18
"49917";0,71;"Very Good";"G";"SI1";62,9;56;2184;5,68;5,73;3,59
"7202";1,04;"Very Good";"I";"SI1";64,1;57;4190;6,35;6,38;4,08
"52547";0,65;"Ideal";"E";"VS1";61,4;59;2533;5,53;5,57;3,41
"36470";0,38;"Ideal";"G";"VVS2";61;56;943;4,67;4,71;2,86
"50925";0,7;"Premium";"F";"SI1";61,9;58;2319;5,69;5,65;3,51
"26083";2,24;"Ideal";"J";"VS2";61,8;54;15316;8,41;8,36;5,18
"5298";0,71;"Ideal";"D";"VS1";62,1;57;3801;5,7;5,73;3,55
"4686";1,01;"Premium";"E";"SI2";62,3;55;3674;6,35;6,29;3,94
"14607";1,21;"Premium";"J";"VVS1";61,3;59;5893;6,81;6,86;4,19
"42042";0,53;"Ideal";"H";"SI1";61,3;55;1268;5,23;5,27;3,22
"4229";0,74;"Ideal";"G";"VS1";61,5;56;3572;5,79;5,82;3,57
"29866";0,3;"Premium";"D";"VS2";61;58;710;4,32;4,34;2,64
"16681";0,32;"Ideal";"H";"SI2";61,4;56;420;4,4;4,43;2,71
"48932";0,53;"Very Good";"E";"VVS2";63,1;60;2043;5,12;5,08;3,22
"50603";0,92;"Fair";"H";"SI2";66,1;57;2283;6,22;6;4,05
"3742";0,3;"Premium";"E";"VS2";61,7;60;570;4,28;4,31;2,65
"27414";1,76;"Very Good";"G";"VS1";62,8;55,4;18014;7,7;7,74;4,85
"8578";1,05;"Very Good";"F";"SI2";62,1;58;4436;6,47;6,5;4,03
"12238";1,01;"Premium";"H";"VS1";62,7;58;5199;6,37;6,39;4
"13315";1,07;"Ideal";"H";"SI1";62,1;56;5498;6,53;6,58;4,07
"43730";0,51;"Ideal";"H";"VS1";62,6;57;1438;5,09;5,13;3,2
"28180";0,37;"Premium";"H";"SI1";63;58;666;4,59;4,55;2,88
"9247";1,01;"Very Good";"H";"VS2";63,3;57;4559;6,32;6,27;3,99
"9261";1,05;"Ideal";"G";"SI2";62,3;56;4561;6,52;6,58;4,08
"43709";0,46;"Premium";"E";"VS1";61,9;58;1437;4,94;4,91;3,05
