"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"1014";0,81;"Ideal";"E";"SI2";63;56;2901;5,95;5,9;3,73
"27352";2,01;"Fair";"G";"VS2";67,5;55;17917;7,7;7,79;5,23
"37806";0,41;"Ideal";"F";"VVS1";61,3;56;1001;4,8;4,82;2,95
"42421";0,51;"Premium";"G";"SI1";60,3;61;1312;5,19;5,12;3,11
"21141";1,51;"Ideal";"I";"VS2";62,3;57;9297;7,28;7,37;4,56
"39790";0,39;"Ideal";"D";"VS1";60,3;56;1095;4,71;4,77;2,86
"51887";0,7;"Ideal";"H";"VS2";62,4;58;2429;5,67;5,71;3,55
"352";0,72;"Ideal";"D";"SI1";61,5;54;2804;5,77;5,8;3,56
"10360";1,01;"Premium";"H";"SI1";60,7;58;4771;6,49;6,45;3,93
"48022";0,7;"Good";"J";"VVS2";63,2;55;1922;5,63;5,57;3,54
"36760";0,52;"Ideal";"H";"SI2";60,5;56;956;5,25;5,23;3,17
"33656";0,41;"Very Good";"E";"VS1";62,8;60;834;4,72;4,77;2,98
"41840";0,59;"Very Good";"H";"SI2";61,2;60;1254;5,38;5,43;3,31
"31198";0,32;"Ideal";"I";"VVS1";62,5;55;756;4,4;4,37;2,74
"27708";0,36;"Good";"E";"SI2";63,7;54;648;4,55;4,52;2,89
"2550";1,01;"Ideal";"J";"SI1";62,1;54;3207;6,48;6,4;4
"52773";0,8;"Ideal";"F";"SI2";61,8;56;2564;5,97;6;3,7
"36282";0,32;"Premium";"G";"SI1";61,6;58;477;4,36;4,4;2,7
"46291";0,3;"Premium";"H";"VS1";61,3;58;526;4,29;4,32;2,64
"25728";2,38;"Premium";"G";"SI2";62,4;58;14648;8,59;8,47;5,32
"21946";1,21;"Premium";"F";"VS1";62,6;59;10018;6,81;6,76;4,25
"14821";1;"Ideal";"G";"VS2";62,6;57;5967;6,47;6,4;4,03
"34479";0,38;"Very Good";"E";"VS2";60,5;62;866;4,65;4,74;2,84
"28313";0,3;"Good";"H";"SI1";63,1;56;432;4,27;4,29;2,7
