"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"31163";0,41;"Very Good";"F";"SI1";62,8;57;755;4,69;4,73;2,96
"29397";0,31;"Premium";"G";"VS2";61,7;58;698;4,34;4,32;2,67
"2947";1;"Premium";"J";"SI2";62,7;58;3293;6,32;6,28;3,95
"15597";1,33;"Premium";"E";"SI2";61;60;6256;7,13;7,05;4,33
"34649";0,31;"Ideal";"E";"VS2";62;56;872;4,37;4,34;2,7
"27053";0,31;"Ideal";"H";"VS2";61,4;56;646;4,38;4,42;2,7
"36745";0,41;"Good";"E";"VS1";61,3;61;954;4,77;4,79;2,93
"32727";0,31;"Premium";"F";"VS2";62,3;59;802;4,33;4,3;2,69
"3976";0,9;"Very Good";"E";"SI1";62,9;57;3510;6,11;6,17;3,86
"34519";0,3;"Ideal";"F";"VVS1";62,4;56;868;4,28;4,31;2,68
"13097";1,21;"Premium";"I";"SI1";59,3;59;5421;6,98;6,95;4,13
"16057";1,08;"Very Good";"G";"VS2";62,3;58;6415;6,5;6,54;4,06
"312";0,74;"Premium";"G";"VS1";62,9;60;2800;5,74;5,68;3,59
"53416";0,72;"Very Good";"F";"SI1";63,1;56;2670;5,68;5,67;3,58
"39725";0,58;"Very Good";"J";"VS2";62,8;57;1090;5,28;5,33;3,33
"7130";0,92;"Very Good";"H";"VS2";63,4;57;4173;6,17;6,11;3,89
"25756";1,51;"Good";"E";"VS2";62,6;60;14709;7,22;7,28;4,54
"49896";0,7;"Ideal";"G";"SI2";62,7;57;2177;5,62;5,6;3,52
"51365";0,78;"Ideal";"J";"VS1";61,9;57;2365;5,88;5,91;3,65
"2471";0,71;"Very Good";"E";"VS1";61,5;57;3192;5,74;5,77;3,54
"17727";0,32;"Ideal";"G";"VS1";61,4;54;614;4,45;4,48;2,74
"34280";0,31;"Ideal";"J";"VVS2";62;56,1;468;4,31;4,33;2,68
"37734";0,51;"Fair";"J";"VS2";65,3;55;996;4,97;4,96;3,24
"18157";1,02;"Ideal";"G";"VS1";61,5;55;7357;6,49;6,52;4
"25278";2;"Ideal";"I";"SI2";61,1;59;13921;8,07;8,11;4,94
"47642";0,23;"Very Good";"D";"VVS1";63,3;58;530;3,9;3,93;2,48
"47329";0,23;"Very Good";"D";"VVS2";61,4;58;530;3,92;3,96;2,42
"17016";1,2;"Good";"G";"VS2";65,2;56;6793;6,61;6,67;4,33
"10417";1;"Very Good";"E";"SI2";62,9;60;4781;6,3;6,35;3,98
"40971";0,51;"Good";"D";"SI2";63,8;56;1180;5,07;5,09;3,24
"37006";0,33;"Ideal";"H";"VVS1";61,7;56;965;4,48;4,46;2,76
"30348";0,33;"Ideal";"D";"VS1";61,1;57;727;4,46;4,48;2,73
"28705";0,41;"Very Good";"I";"SI1";63,3;60;680;4,71;4,64;2,96
"52159";0,7;"Very Good";"G";"VS1";59,3;62;2473;5,74;5,8;3,42
"5187";0,8;"Ideal";"H";"IF";61,1;56;3774;6,02;5,96;3,66
"14088";1,27;"Very Good";"H";"SI2";60,6;59;5715;6,97;7;4,23
"15422";1,01;"Premium";"F";"VS1";62,6;58;6176;6,48;6,37;4,02
"14002";1,2;"Premium";"I";"VS2";62,6;58;5699;6,77;6,72;4,22
"12023";1,15;"Ideal";"J";"VS1";61,5;55;5152;6,81;6,76;4,17
"45718";0,56;"Ideal";"E";"SI1";60,9;56;1698;5,35;5,32;3,25
"36739";0,32;"Premium";"G";"IF";62;60;954;4,37;4,41;2,72
"35369";0,38;"Premium";"F";"SI1";60,4;58;898;4,72;4,68;2,84
"15000";1,01;"Fair";"F";"VS2";69;61;6041;6,06;5,99;4,16
"23041";1,57;"Ideal";"H";"SI1";62,4;56;11068;7,42;7,45;4,64
"17201";1;"Ideal";"E";"VS2";62;56;6871;6,46;6,41;3,99
"41971";0,4;"Ideal";"D";"VVS2";61,3;56;1263;4,75;4,78;2,92
"17352";1,11;"Premium";"D";"SI1";62;58;6962;6,68;6,64;4,13
"20233";1,01;"Ideal";"G";"VVS2";61,6;54;8662;6,51;6,55;4,02
"9751";1,27;"Premium";"J";"SI2";60,4;58;4660;7,04;7;4,24
"38056";0,45;"Good";"F";"VS1";59;62;1012;5,02;5,04;2,97
"20437";1,22;"Very Good";"G";"IF";62;59;8793;6,8;6,85;4,23
"53886";0,75;"Very Good";"I";"VVS2";62;59;2749;5,81;5,83;3,61
"23655";1,52;"Good";"F";"VS2";64,2;59;11696;7,16;7,2;4,61
"46726";0,47;"Very Good";"D";"VS1";60;59;1795;5,07;5,09;3,06
"30160";0,4;"Very Good";"D";"SI1";63;57;720;4,66;4,7;2,95
"34259";0,3;"Ideal";"F";"VVS1";61,7;56;857;4,33;4,35;2,68
"36065";0,38;"Ideal";"E";"VS1";61,8;54,7;924;4,66;4,68;2,89
"34014";0,3;"Good";"D";"VVS1";64,3;57;848;4,27;4,32;2,76
"2623";0,73;"Very Good";"E";"VS1";62,3;58;3226;5,72;5,74;3,57
"30258";0,35;"Very Good";"G";"VS1";59,2;60;725;4,59;4,64;2,73
"6022";1,18;"Very Good";"E";"I1";63,3;57;3965;6,7;6,64;4,22
"15565";1,26;"Ideal";"H";"SI2";62;55;6239;6,9;6,97;4,29
"2752";0,81;"Good";"G";"VS2";62,9;58;3250;5,88;5,94;3,72
"19992";1,01;"Very Good";"F";"VVS2";61,8;55;8532;6,36;6,45;3,96
"46552";0,51;"Very Good";"E";"VS2";63,3;56;1781;5,12;5,08;3,23
"715";1;"Fair";"G";"SI2";67,8;61;2856;5,96;5,9;4,02
"200";0,72;"Premium";"F";"SI1";61,8;61;2777;5,82;5,71;3,56
"49587";0,58;"Ideal";"G";"VVS2";61,6;56;2135;5,37;5,4;3,31
"26869";1,5;"Premium";"D";"VS1";62,8;58;16793;7,29;7,26;4,57
"40518";0,48;"Ideal";"G";"SI1";61,6;55;1145;5,06;5,1;3,13
"23079";1,54;"Premium";"G";"SI1";61,8;59;11107;7,32;7,37;4,54
"13114";1,09;"Ideal";"H";"SI1";60,9;55;5428;6,72;6,69;4,08
"16119";1,3;"Ideal";"F";"SI2";62,2;56;6442;6,96;7;4,34
"13644";1,37;"Very Good";"I";"SI2";63;57;5584;6,98;7,05;4,42
"8209";1,01;"Good";"F";"SI1";65,5;58;4369;6,11;6,25;4,05
"1399";0,24;"Ideal";"G";"IF";61,3;57;559;4;4,03;2,46
"41672";0,4;"Ideal";"G";"VS2";62;56;1240;4,73;4,78;2,95
"19756";1,08;"Ideal";"F";"VS1";62,1;53;8321;6,6;6,64;4,11
"10870";1,15;"Ideal";"G";"SI2";62,4;56;4877;6,7;6,74;4,19
"31086";0,33;"Premium";"G";"VVS2";60,6;58;752;4,47;4,5;2,72
"45826";0,55;"Premium";"I";"VVS1";61,3;59;1712;5,3;5,27;3,24
"45231";0,58;"Ideal";"F";"VS2";61,5;57;1657;5,34;5,39;3,3
"41351";0,57;"Good";"H";"SI1";63,1;54;1218;5,28;5,3;3,34
"11151";1,07;"Premium";"E";"SI2";59,7;58;4943;6,66;6,68;3,98
"30816";0,33;"Premium";"G";"VS2";61,4;60;743;4,45;4,41;2,72
"36502";0,33;"Very Good";"E";"VVS1";61,8;54;945;4,47;4,49;2,77
"2944";1;"Very Good";"J";"SI2";63,2;62;3293;6,32;6,27;3,98
"34128";0,42;"Very Good";"G";"VS2";62,1;55;854;4,8;4,83;2,99
"44070";0,55;"Ideal";"E";"SI1";60,6;56;1551;5,3;5,33;3,22
"5850";1;"Premium";"H";"SI2";61,2;59;3920;6,42;6,38;3,92
"31060";0,31;"Ideal";"D";"VS1";60,5;57;752;4,39;4,41;2,66
"16301";1,01;"Very Good";"E";"VS2";60,4;58;6522;6,47;6,6;3,95
"46831";0,53;"Ideal";"D";"VS2";62,2;56;1809;5,17;5,18;3,22
"35327";0,33;"Very Good";"G";"IF";62,6;55;898;4,41;4,44;2,77
"46124";0,51;"Very Good";"H";"VVS1";63,2;57;1744;5,06;5,1;3,21
"38688";0,37;"Ideal";"E";"VS2";61,6;57;1041;4,65;4,61;2,85
"18865";1,57;"Ideal";"J";"SI1";62,3;57;7737;7,45;7,39;4,62
"10372";1,01;"Premium";"F";"SI1";62,2;58;4775;6,35;6,28;3,93
"43655";0,51;"Ideal";"H";"SI2";62;55;1435;5,12;5,14;3,18
"12253";1,05;"Ideal";"D";"SI2";61,9;56;5204;6,53;6,5;4,03
"34978";0,25;"Ideal";"H";"VS2";61;55;472;4,11;4,09;2,5
"24810";1,71;"Ideal";"G";"SI1";62,1;56;13196;7,65;7,61;4,74
"41504";0,51;"Fair";"H";"VS1";55,5;64;1234;5,44;5,4;3,01
"18099";1,55;"Premium";"H";"SI2";62;56;7319;7,41;7,37;4,58
"48226";0,57;"Ideal";"E";"VS2";61,9;57;1949;5,31;5,29;3,28
"36479";0,43;"Ideal";"H";"VVS2";61,3;56;943;4,86;4,9;2,99
"3098";0,7;"Ideal";"F";"VS1";61,5;55;3319;5,73;5,75;3,53
"14403";1,06;"Premium";"D";"SI1";59,4;57;5817;6,72;6,65;3,97
"20563";1,39;"Premium";"G";"VS2";62;56;8874;7,18;7,14;4,44
"43259";0,47;"Ideal";"E";"VS1";61,5;55;1400;5,01;5,04;3,09
"7221";1,21;"Good";"J";"SI2";63,7;55;4192;6,75;6,81;4,32
"34351";0,42;"Premium";"D";"SI2";62;59;862;4,83;4,78;2,98
"10108";1,08;"Premium";"H";"SI2";61,2;58;4717;6,62;6,58;4,04
"22353";0,31;"Ideal";"H";"VS2";62,2;53;628;4,43;4,38;2,74
"411";0,34;"Ideal";"I";"VS1";61,8;55;555;4,48;4,52;2,78
"12771";1,08;"Ideal";"F";"SI1";62,7;57;5327;6,52;6,49;4,08
"47476";0,7;"Good";"E";"SI2";62,2;63;1860;5,65;5,6;3,5
"10362";1,15;"Premium";"H";"SI1";60,2;60;4772;6,87;6,78;4,11
"4366";1,01;"Very Good";"D";"SI2";59,1;63;3605;6,54;6,59;3,88
"2457";1,01;"Premium";"J";"VS2";62,4;60;3190;6,45;6,35;3,99
"21045";0,31;"Good";"G";"VS1";63,2;56;625;4,28;4,29;2,71
"12222";1;"Ideal";"F";"SI1";62;57;5197;6,37;6,43;3,97
"32526";0,35;"Ideal";"H";"VVS1";62,3;55;798;4,51;4,55;2,82
"30050";0,41;"Very Good";"G";"SI1";62,7;55;719;4,77;4,8;3
"42955";0,3;"Very Good";"J";"VS1";63,5;58;506;4,27;4,24;2,7
"26995";2,07;"Ideal";"G";"SI2";62;55;17095;8,23;8,13;5,07
"20465";1,54;"Very Good";"G";"SI2";61,5;61;8808;7,35;7,42;4,54
"15990";1,01;"Good";"E";"VS2";63,3;58;6399;6,35;6,38;4,03
"27449";2,32;"Ideal";"H";"SI1";62,6;57;18080;8,46;8,52;5,32
"28817";0,31;"Premium";"D";"VS1";59,6;58;683;4,38;4,41;2,62
"50332";0,83;"Premium";"J";"SI2";59,1;60;2241;6,13;6,12;3,62
"34401";0,34;"Ideal";"H";"IF";61,9;53;863;4,5;4,52;2,79
"30925";0,34;"Ideal";"E";"VS2";62,6;57;745;4,45;4,47;2,79
"53251";0,5;"Ideal";"F";"IF";62;55;2645;5,09;5,13;3,17
"18382";0,32;"Very Good";"E";"VS1";61,6;56;618;4,4;4,46;2,73
"39533";0,4;"Premium";"F";"VS2";60,7;60;1080;4,8;4,75;2,9
"8093";1,25;"Premium";"G";"SI2";61,1;58;4340;6,96;6,91;4,24
"52102";0,69;"Ideal";"F";"SI1";61,3;55;2459;5,72;5,74;3,51
"47639";0,51;"Ideal";"D";"VS2";61,5;55;1882;5,18;5,13;3,17
"26578";2,01;"Ideal";"I";"SI1";64,8;62;16287;7,92;7,82;5,1
"26952";2,19;"Premium";"H";"SI1";61,6;58;17016;8,35;8,3;5,13
"35196";0,31;"Ideal";"G";"IF";61,2;56;891;4,36;4,4;2,68
"12555";1,01;"Ideal";"F";"SI1";60;56;5274;6,55;6,49;3,91
"8024";0,91;"Premium";"E";"SI1";62,1;58;4332;6,15;6,18;3,83
"31112";0,31;"Very Good";"F";"VVS2";62;55;754;4,34;4,38;2,7
"14639";1,13;"Ideal";"H";"SI1";61,9;60;5911;6,63;6,65;4,11
"29615";0,27;"Very Good";"G";"VS1";61,9;56;439;4,13;4,16;2,56
"21484";1,35;"Premium";"G";"VS2";61,1;58;9580;7,16;7,12;4,36
"12989";1;"Premium";"E";"SI1";61,7;58;5396;6,42;6,35;3,94
"23930";1,24;"Ideal";"F";"VVS2";62;57;12059;6,86;6,91;4,27
"45721";0,55;"Premium";"F";"VS2";62,2;58;1698;5,26;5,22;3,26
"37585";0,32;"Premium";"F";"VVS1";61,3;58;990;4,4;4,37;2,69
"41111";0,51;"Ideal";"H";"SI1";63;57;1195;5,14;5,11;3,23
"4431";0,9;"Very Good";"G";"SI1";63,8;53;3615;6,1;6,16;3,91
"47693";0,47;"Ideal";"E";"VVS2";62;55;1883;4,97;5;3,09
"31586";0,35;"Ideal";"E";"VS2";62;55;767;4,52;4,54;2,81
"17038";1,55;"Ideal";"J";"SI2";62;56;6805;7,42;7,38;4,59
"8570";1,2;"Premium";"J";"VS2";58;59;4435;6,98;6,92;4,03
"25201";1,54;"Ideal";"G";"VS2";61,2;56;13794;7,43;7,47;4,56
"28915";0,36;"Ideal";"E";"VS2";61,7;57;684;4,55;4,59;2,82
"52334";0,7;"Premium";"E";"VS2";61,1;58;2496;5,78;5,7;3,51
"28198";0,4;"Premium";"D";"SI2";61,1;58;666;4,73;4,76;2,9
"18579";1,51;"Ideal";"I";"SI2";61,8;57;7577;7,43;7,36;4,57
"41906";0,51;"Very Good";"G";"SI1";61,9;57;1261;5,09;5,15;3,17
"19479";1;"Very Good";"G";"VVS1";63,4;57;8115;6,33;6,36;4,02
"6683";0,9;"Ideal";"H";"SI2";61,8;56;4101;6,17;6,2;3,82
"45846";0,5;"Good";"G";"VVS2";63,4;57;1715;5,06;5,1;3,22
"436";0,7;"Ideal";"H";"SI1";60,4;56;2815;5,75;5,81;3,49
"28629";0,26;"Ideal";"H";"VS2";62,1;55;434;4,08;4,1;2,54
"23447";1,58;"Ideal";"I";"VVS1";61,9;55;11435;7,47;7,51;4,64
"47618";0,55;"Ideal";"F";"VS1";61,6;57;1881;5,23;5,29;3,24
"39788";0,39;"Ideal";"D";"VS1";61,9;57;1095;4,69;4,71;2,91
"36107";0,42;"Very Good";"F";"SI1";63,3;56;926;4,79;4,75;3,02
"44290";0,52;"Very Good";"I";"VVS1";63,1;58;1577;5,13;5,1;3,23
"8411";0,9;"Ideal";"H";"VS2";61,9;58;4403;6,2;6,24;3,85
"30587";0,31;"Premium";"E";"VS1";60,5;59;734;4,36;4,37;2,64
"35552";0,35;"Premium";"H";"VVS2";61,9;58;906;4,54;4,5;2,8
"47531";0,57;"Ideal";"F";"VS2";60,8;57;1869;5,34;5,37;3,25
"19600";1,57;"Ideal";"J";"SI1";62,4;57;8221;7,51;7,4;4,65
"39716";0,5;"Good";"E";"SI1";64;56;1090;5,03;4,97;3,2
"13312";1,01;"Ideal";"G";"SI1";61,1;58;5497;6,43;6,49;3,95
"17332";1,16;"Ideal";"H";"VS2";62,1;57;6954;6,7;6,73;4,17
"53638";0,3;"Very Good";"D";"SI1";62,5;57;552;4,26;4,28;2,67
"20901";1,14;"Ideal";"F";"VS1";61,1;55;9116;6,78;6,74;4,13
"18409";1,03;"Ideal";"G";"VS1";61,4;55;7481;6,5;6,53;4
"11604";1,24;"Very Good";"J";"SI1";61,6;60;5045;6,89;6,95;4,26
"53742";0,78;"Good";"E";"SI1";57,9;62;2723;6,06;6,03;3,5
"41980";0,55;"Ideal";"F";"SI2";61,2;56;1263;5,29;5,23;3,22
"10628";0,73;"Ideal";"E";"VVS1";62;56;4830;5,75;5,79;3,58
"52989";0,74;"Premium";"E";"SI2";62,6;58;2594;5,73;5,77;3,6
"42462";0,55;"Ideal";"F";"SI1";61,8;55;1316;5,22;5,27;3,24
"3825";0,8;"Very Good";"F";"VS1";63,6;56;3471;5,83;5,94;3,74
"32435";0,43;"Ideal";"E";"SI1";61,5;56;792;4,85;4,9;3
"31029";0,31;"Ideal";"F";"VS2";62,2;56;749;4,39;4,36;2,72
"51058";0,71;"Ideal";"F";"SI2";59,3;57;2331;5,86;5,81;3,46
"17553";1,19;"Good";"E";"VS2";57,4;60;7064;7;6,9;3,99
"34388";0,41;"Ideal";"F";"VS2";61,8;56;863;4,76;4,79;2,95
"37837";0,33;"Premium";"D";"VS2";60,7;58;1002;4,5;4,46;2,72
"28786";0,37;"Very Good";"D";"SI1";62,2;58;681;4,58;4,62;2,86
"3101";0,71;"Ideal";"D";"VS2";62,1;56;3321;5,71;5,75;3,56
