"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"21426";1,5;"Very Good";"I";"VS2";63,3;55;9533;7,3;7,26;4,61
"48190";0,72;"Good";"H";"SI2";65,8;59;1945;5,51;5,58;3,65
"5248";0,9;"Very Good";"D";"SI2";64;58;3789;6,06;6,11;3,9
"17359";1,56;"Good";"J";"VS2";57,6;65;6966;7,6;7,62;4,38
"48236";0,56;"Ideal";"F";"VS2";61,8;55;1950;5,3;5,34;3,29
"3715";0,84;"Very Good";"E";"SI1";58,8;58;3453;6,16;6,28;3,66
"8688";1,03;"Ideal";"I";"SI1";60,7;60;4458;6,5;6,55;3,96
"5945";0,93;"Good";"I";"VS2";58,2;60;3946;6,41;6,48;3,75
"30908";0,37;"Ideal";"G";"SI1";61,8;55;745;4,62;4,64;2,86
"25123";1,26;"Ideal";"F";"IF";62,6;57;13671;6,94;6,84;4,31
"43081";0,5;"Ideal";"F";"SI1";59,9;56;1378;5,36;5,09;3,13
"1815";0,61;"Ideal";"E";"VVS2";60,8;56;3056;5,5;5,47;3,34
"25428";1,51;"Premium";"E";"VS2";62,2;59;14171;7,31;7,36;4,56
"43304";0,61;"Very Good";"I";"VS2";63,4;55;1401;5,46;5,42;3,45
"5726";0,25;"Very Good";"D";"VVS2";58,8;59;575;4,11;4,16;2,43
"30534";0,4;"Good";"J";"VS1";64;56;734;4,69;4,66;2,99
"27040";0,32;"Very Good";"G";"VS1";61,7;55;645;4,37;4,41;2,71
"10053";0,27;"Very Good";"F";"VVS2";62,3;59;591;4,14;4,18;2,59
"48842";0,55;"Ideal";"D";"VS2";62,3;55;2030;5,29;5,24;3,28
"19318";1,01;"Ideal";"G";"VVS2";60,9;56;8029;6,51;6,55;3,98
"41914";0,6;"Very Good";"J";"VS2";60;59,4;1262;5,47;5,51;3,29
"48171";0,54;"Fair";"F";"SI1";64,8;59;1944;5,11;5,05;3,29
"3124";0,96;"Ideal";"J";"VS2";61,5;57;3326;6,32;6,36;3,9
"36525";0,4;"Premium";"F";"SI1";62,8;59;945;4,72;4,71;2,96
"22178";1,51;"Good";"G";"SI1";58,8;62;10216;7,4;7,49;4,38
"30593";0,31;"Ideal";"E";"VS1";61,7;56;734;4,37;4,41;2,71
"19665";1,41;"Ideal";"J";"VS1";61,6;56;8275;7,19;7,22;4,44
"37976";0,4;"Very Good";"H";"VS1";63,4;58;1007;4,74;4,66;2,98
"38782";0,31;"Premium";"H";"IF";60,5;58;1046;4,44;4,38;2,67
