"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"36072";0,4;"Premium";"D";"SI1";63;57;924;4,7;4,66;2,95
"40065";0,43;"Premium";"G";"VS2";61,3;58;1113;4,86;4,83;2,97
"31641";0,25;"Very Good";"H";"VVS1";60,1;62;450;4,08;4,11;2,46
"39811";0,5;"Very Good";"E";"SI2";59,9;57;1097;5,12;5,16;3,08
"34366";0,41;"Ideal";"E";"VS1";62,3;53;863;4,74;4,76;2,96
"9826";1,01;"Good";"G";"SI1";63,9;57;4672;6,37;6,3;4,05
"53080";0,59;"Ideal";"G";"IF";62,5;57;2611;5,34;5,38;3,35
"16726";0,33;"Premium";"H";"SI1";63;58;610;4,42;4,4;2,78
"40245";0,37;"Ideal";"D";"VS2";61,3;56;1124;4,64;4,6;2,83
"36823";0,33;"Very Good";"E";"IF";61,8;55;957;4,47;4,52;2,78
"38457";0,36;"Ideal";"G";"IF";62,2;53;1029;4,59;4,61;2,86
"31267";0,32;"Very Good";"I";"VS2";63;55;449;4,34;4,39;2,75
"51196";0,6;"Premium";"F";"VVS2";61,3;59;2350;5,45;5,41;3,33
"16522";1,31;"Premium";"H";"SI2";61,4;59;6602;6,99;6,96;4,28
"20786";1,15;"Premium";"G";"VVS1";60,8;58;9025;6,77;6,74;4,11
"33444";0,32;"Ideal";"G";"VS1";61,6;56;828;4,42;4,38;2,71
"33331";0,41;"Ideal";"I";"VVS2";61,6;57;827;4,76;4,78;2,94
"12072";1,25;"Premium";"J";"VS1";60,9;59;5156;6,9;6,92;4,21
"610";0,71;"Premium";"F";"VS1";59,1;61;2839;5,84;5,81;3,44
"8367";0,9;"Very Good";"G";"VS2";58,8;61;4400;6,28;6,3;3,7
"46273";0,57;"Premium";"F";"VS2";60,3;58;1754;5,4;5,44;3,27
"15614";1,12;"Very Good";"F";"SI1";62,9;57;6262;6,6;6,62;4,16
"2807";1,11;"Premium";"H";"I1";61;59;3263;6,67;6,61;4,05
"30361";0,36;"Premium";"H";"VS2";61;60;729;4,6;4,55;2,79
"39832";0,5;"Premium";"E";"SI2";61;62;1097;5,13;5,09;3,12
"19654";1,01;"Very Good";"F";"VVS2";63;56;8265;6,34;6,4;4,01
"37368";0,4;"Premium";"F";"VS1";62,6;58;982;4,68;4,72;2,94
"32868";0,38;"Ideal";"I";"VVS2";63,4;53;809;4,61;4,63;2,93
"45202";0,51;"Premium";"E";"VS2";61,9;59;1656;5,06;5,11;3,15
"26638";1,5;"Premium";"E";"VS1";60,3;60;16409;7,34;7,43;4,45
"47073";0,52;"Ideal";"D";"VS2";61,9;57;1822;5,14;5,17;3,19
"45611";0,52;"Ideal";"G";"VS1";60,8;55;1691;5,2;5,26;3,18
"45181";0,51;"Very Good";"G";"VS1";62,9;58;1656;5,05;5,1;3,19
"11694";1,01;"Very Good";"I";"VS2";62,9;56;5067;6,38;6,43;4,03
"22783";1,67;"Ideal";"I";"VS1";61,2;57;10802;7,69;7,66;4,7
"45188";0,51;"Premium";"G";"VS1";62,1;60;1656;5,1;5,11;3,17
"38745";0,35;"Very Good";"G";"IF";59,1;59;1044;4,59;4,62;2,72
"14369";1,09;"Ideal";"F";"SI1";62;56;5816;6,59;6,61;4,09
"17668";1,01;"Ideal";"F";"VS1";62,2;57;7122;6,38;6,48;4
"2055";0,32;"Very Good";"E";"SI1";62,8;57;561;4,34;4,39;2,74
"20999";1,54;"Premium";"J";"VVS1";62,4;59;9215;7,36;7,38;4,6
