"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"19431";1;"Good";"F";"VVS2";60,7;62;8079;6,36;6,4;3,87
"25048";0,3;"Very Good";"F";"SI1";63,5;59;641;4,22;4,19;2,67
"5444";0,9;"Very Good";"E";"SI1";63,2;57;3830;6,15;6,12;3,88
"36770";0,34;"Ideal";"F";"VS1";62,2;56;956;4,47;4,44;2,77
"52386";0,79;"Ideal";"I";"SI1";61,2;55;2507;5,95;5,98;3,65
"37159";0,32;"Ideal";"D";"VS2";61,5;56;972;4,44;4,41;2,72
"35250";0,3;"Ideal";"E";"VVS1";61,4;56;895;4,33;4,37;2,67
"29037";0,42;"Good";"G";"SI1";63,1;56;687;4,75;4,79;3,01
"16936";1,29;"Ideal";"F";"SI2";60,7;58;6762;7;7,07;4,27
"52692";0,69;"Very Good";"G";"VVS2";63,8;53,7;2553;5,6;5,72;3,61
"26971";1,6;"Ideal";"G";"VS1";62;54;17050;7,53;7,5;4,6
"33459";0,32;"Ideal";"G";"VS1";62,3;55;828;4,4;4,37;2,73
"11803";1;"Ideal";"G";"SI1";61,9;56;5088;6,45;6,37;3,97
"31847";0,36;"Ideal";"G";"VVS2";61,6;57;776;4,58;4,62;2,83
"44063";0,55;"Ideal";"E";"SI1";61,4;55;1551;5,26;5,29;3,24
"47982";0,33;"Ideal";"E";"SI1";61,5;55;532;4,46;4,49;2,75
"3361";0,3;"Very Good";"I";"SI1";61,2;58;405;4,28;4,31;2,63
"37846";0,33;"Ideal";"D";"VS2";61,9;57;1002;4,47;4,42;2,75
"18373";0,39;"Good";"J";"VS1";63,5;58;616;4,59;4,64;2,93
"15717";0,36;"Premium";"G";"SI2";60,8;58;608;4,61;4,57;2,79
"7795";1,04;"Very Good";"I";"SI1";62;57;4290;6,47;6,5;4,02
"9426";1,01;"Very Good";"D";"SI2";62,8;59;4588;6,34;6,44;4,01
"18528";1,03;"Ideal";"F";"VS2";60,2;54;7550;6,64;6,61;3,99
"23901";1,5;"Ideal";"G";"SI1";61;57;12009;7,38;7,41;4,51
"10450";1,14;"Premium";"I";"SI1";62,2;58;4788;6,7;6,67;4,16
"23517";1,57;"Premium";"F";"SI1";62;58;11523;7,47;7,41;4,61
"32014";0,3;"Ideal";"D";"VS2";59,5;56;778;4,41;4,37;2,61
"8549";1,01;"Good";"H";"SI1";63,1;60;4432;6,37;6,41;4,03
"10227";1,11;"Premium";"I";"VS2";63;53;4744;6,64;6,59;4,17
"46817";0,71;"Premium";"G";"SI2";59,9;59;1808;5,82;5,79;3,48
"9991";1,2;"Premium";"J";"VS1";62;59;4704;6,77;6,72;4,18
"13351";0,24;"Very Good";"D";"VS2";60,2;59;419;4,03;4,04;2,43
"3371";0,3;"Ideal";"I";"VS2";62,4;55;407;4,32;4,34;2,7
"6755";0,9;"Ideal";"F";"SI1";62,3;56;4103;6,17;6,13;3,83
"32137";0,36;"Ideal";"F";"VS2";60,5;57;786;4,61;4,65;2,8
"21155";1,01;"Ideal";"E";"VVS2";60;55;9310;6,56;6,6;3,95
"3058";0,34;"Very Good";"F";"SI1";63;54;566;4,48;4,5;2,83
"53049";0,8;"Ideal";"I";"VS2";61,6;58;2606;5,99;6,03;3,7
"44720";0,5;"Good";"F";"VS2";62,9;54,9;1615;5,08;5,12;3,21
"3859";0,72;"Ideal";"G";"VS1";61,8;56;3478;5,74;5,76;3,55
"27183";2,2;"Ideal";"H";"VS2";61,7;55;17460;8,41;8,38;5,18
"3084";0,95;"Very Good";"J";"VS2";63,5;56;3314;6,24;6,27;3,97
"27076";1,51;"Very Good";"F";"VVS2";61,3;61;17203;7,33;7,36;4,5
"23453";1,5;"Very Good";"D";"SI1";60,7;62;11442;7,3;7,33;4,44
"46787";0,5;"Very Good";"E";"VS1";59;60;1806;5,19;5,22;3,07
"24883";1,5;"Good";"G";"VS2";61,4;58,8;13307;7,32;7,37;4,5
"45879";0,59;"Premium";"G";"VS2";62,6;56;1717;5,39;5,34;3,36
"20934";1,01;"Very Good";"E";"VVS2";63,3;55;9140;6,41;6,36;4,04
"28929";0,3;"Very Good";"G";"VVS2";62,1;59;684;4,23;4,27;2,64
"15856";1,51;"Premium";"J";"VS2";62,3;59;6342;7,36;7,3;4,57
"51060";0,7;"Very Good";"G";"VS2";63,5;57;2331;5,68;5,66;3,6
"45650";0,29;"Ideal";"G";"VS2";60,7;55;525;4,31;4,35;2,63
"912";0,79;"Ideal";"F";"SI1";62,8;56;2878;5,88;5,9;3,7
"7569";1,04;"Premium";"I";"SI1";62,5;62;4252;6,45;6,39;4,01
"3081";1,24;"Ideal";"J";"SI1";62,3;57;3312;6,86;6,81;4,26
"47243";0,62;"Premium";"G";"VS2";60,2;60;1841;5,58;5,52;3,34
"12319";1,28;"Very Good";"F";"SI2";62,5;55;5223;6,91;7;4,35
"21357";1,02;"Ideal";"D";"VS2";61,5;56;9502;6,46;6,49;3,99
