"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"43966";0,32;"Good";"H";"SI2";63,8;56;517;4,38;4,36;2,79
"34691";0,3;"Ideal";"F";"IF";60,4;60;873;4,32;4,35;2,62
"20148";1;"Premium";"F";"VVS2";61,3;55;8602;6,44;6,41;3,94
"30334";0,33;"Ideal";"H";"VS1";60,9;56;727;4,46;4,5;2,73
"15906";2,15;"Premium";"H";"I1";62,9;57;6357;8,25;8,2;5,18
"34589";0,37;"Ideal";"D";"VS1";61,8;56;872;4,61;4,64;2,86
"53603";0,7;"Ideal";"F";"SI1";61;56;2700;5,75;5,72;3,5
"14580";1,27;"Ideal";"J";"VS1";61,4;59;5885;6,95;6,97;4,27
"17578";1,09;"Ideal";"G";"VS1";60,5;57;7078;6,69;6,73;4,06
"19218";2,01;"Good";"H";"I1";61,7;63;7959;7,91;7,94;4,89
"21776";1,05;"Ideal";"E";"VVS2";61,3;56;9843;6,55;6,59;4,03
"27154";2,02;"Ideal";"H";"SI1";62;56;17392;8,06;8,13;5,02
"20530";1,51;"Good";"H";"SI1";62,2;61;8854;7,25;7,32;4,53
"52748";0,71;"Ideal";"H";"VS1";62,4;56;2559;5,66;5,71;3,55
"14276";1,2;"Premium";"E";"SI2";60,4;58;5779;6,95;6,89;4,18
"23869";2,02;"Premium";"F";"SI2";61;59;11962;8,2;8,13;4,98
"51975";0,26;"Very Good";"E";"VVS2";64,3;57;547;3,99;4,03;2,58
"10716";0,31;"Good";"D";"SI2";63,7;55;593;4,35;4,32;2,76
"26187";1,51;"Premium";"D";"VS2";61,7;58;15531;7,33;7,29;4,51
"9185";1,1;"Very Good";"J";"VS1";60,9;59;4545;6,65;6,74;4,08
"25403";2,05;"Ideal";"J";"VS2";61,7;54,9;14111;8,16;8,24;5,05
"48729";0,52;"Ideal";"G";"VVS2";62,1;56;2012;5,17;5,14;3,2
"50521";0,53;"Ideal";"F";"VVS1";62,1;53,2;2273;5,17;5,21;3,22
"1283";0,73;"Ideal";"F";"SI1";61,6;55;2951;5,77;5,81;3,56
"46448";0,56;"Ideal";"E";"VS1";61,6;56;1773;5,26;5,32;3,26
"31714";0,42;"Ideal";"I";"VS1";61,5;56;771;4,83;4,86;2,98
"49649";0,3;"Premium";"H";"SI1";62,9;58;540;4,24;4,22;2,66
"23287";2,01;"Good";"I";"SI2";56,9;59;11312;8,41;8,3;4,74
"20285";1,73;"Good";"J";"SI1";65,6;55;8703;7,42;7,47;4,88
"34785";0,4;"Very Good";"G";"VS1";62,8;56;877;4,67;4,7;2,94
"52496";0,51;"Ideal";"F";"IF";62,4;55;2524;5,11;5,14;3,2
"5557";1;"Premium";"F";"SI2";60,2;62;3858;6,53;6,45;3,91
"33095";0,37;"Ideal";"H";"VVS1";62;53;815;4,63;4,66;2,88
"13371";0,24;"Very Good";"D";"VS1";61,4;58;419;3,99;4,02;2,46
"40537";0,51;"Ideal";"G";"SI2";62,1;56;1148;5,1;5,13;3,18
"6511";1,12;"Premium";"J";"SI1";62,3;57;4064;6,72;6,61;4,15
"20207";1,28;"Very Good";"H";"VS1";61,2;55;8645;6,98;7,04;4,29
"21576";1,07;"Very Good";"D";"VS1";59,9;55;9681;6,69;6,71;4,01
"25870";1,56;"Ideal";"G";"VS1";61,3;56;14957;7,46;7,51;4,59
"6672";0,94;"Premium";"E";"SI2";62,4;58;4098;6,26;6,33;3,93
"29662";0,35;"Ideal";"F";"VS2";62,2;55;706;4,48;4,53;2,8
"40867";0,55;"Ideal";"F";"SI2";62,3;57;1175;5,22;5,27;3,27
"17786";1;"Premium";"G";"VS1";59,7;59;7164;6,57;6,5;3,9
"33324";0,35;"Ideal";"D";"SI1";62,3;57;827;4,52;4,5;2,81
"15368";0,3;"Ideal";"F";"VS2";60,9;56;605;4,32;4,35;2,64
"2940";0,9;"Premium";"I";"VS2";62,6;62;3292;6,13;6,04;3,81
"30944";0,24;"Ideal";"H";"VVS1";62,4;56;449;3,99;4,03;2,5
