"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"47302";0,31;"Ideal";"I";"SI1";61,3;55;395;4,39;4,42;2,7
"47378";0,57;"Premium";"D";"SI1";61,1;56;1847;5,38;5,33;3,27
"11195";1;"Ideal";"G";"SI1";62,2;57;4956;6,45;6,38;3,99
"37523";0,47;"Good";"D";"SI1";63,8;59;987;4,9;4,88;3,12
"5502";0,74;"Ideal";"F";"VS1";61,7;56;3845;5,79;5,87;3,6
"50735";0,75;"Premium";"H";"SI2";63;58;2295;5,79;5,76;3,64
"35201";0,46;"Good";"E";"SI1";63,7;58;891;4,84;4,9;3,1
"45243";0,55;"Ideal";"G";"VS2";61,8;58;1659;5,23;5,26;3,24
"9741";1;"Fair";"F";"SI1";65,8;58;4657;6,23;6,15;4,07
"50248";0,73;"Ideal";"I";"SI1";62;56;2234;5,8;5,75;3,58
"13899";0,9;"Ideal";"D";"SI1";62,4;55;5656;6,15;6,19;3,85
"36876";0,39;"Ideal";"F";"VS1";62,3;57;958;4,65;4,69;2,91
"9653";0,91;"Ideal";"F";"SI2";62;57;4642;6,15;6,23;3,84
"7239";1,13;"Very Good";"I";"SI2";59,9;57;4195;6,76;6,8;4,06
"13964";1,01;"Very Good";"E";"SI1";63,4;58;5684;6,32;6,37;4,02
"9309";0,94;"Ideal";"D";"SI1";62,3;57;4575;6,24;6,29;3,9
"39360";0,52;"Premium";"F";"SI2";62,7;57;1073;5,11;5,07;3,19
"30007";0,43;"Very Good";"E";"SI2";62,7;55;716;4,83;4,87;3,04
"27096";2,25;"Premium";"H";"SI1";61,5;61;17233;8,47;8,41;5,19
"12049";0,34;"Ideal";"G";"VS2";62;54;596;4,47;4,5;2,78
"41278";0,41;"Good";"F";"I1";63,8;57;503;4,69;4,72;3
"38549";0,34;"Ideal";"E";"VS1";61,4;57;1033;4,5;4,46;2,75
"52416";0,7;"Premium";"G";"VS1";62,6;60;2512;5,58;5,66;3,52
"42558";0,42;"Ideal";"F";"VVS1";62;55;1326;4,81;4,84;2,99
"2166";0,71;"Very Good";"D";"VS2";60,3;62;3131;5,69;5,76;3,45
"43893";0,3;"Ideal";"D";"SI1";61,8;56;508;4,31;4,33;2,67
"41615";0,24;"Very Good";"G";"VVS1";61,7;56;504;3,98;4,02;2,46
"28744";0,31;"Ideal";"E";"VS2";61;54;680;4,37;4,41;2,68
"10180";1,22;"Premium";"I";"SI2";61,5;61;4735;6,89;6,83;4,22
"11";0,3;"Good";"J";"SI1";64;55;339;4,25;4,28;2,73
"13947";1,04;"Premium";"H";"VS2";60,4;59;5674;6,51;6,66;3,98
"14300";1,08;"Ideal";"H";"VS1";61,9;57;5791;6,58;6,64;4,09
"15152";2,06;"Good";"H";"I1";64,3;58;6091;8,03;7,99;5,15
"2019";0,7;"Premium";"F";"VVS2";62,6;59;3105;5,66;5,62;3,53
"23891";2;"Ideal";"H";"SI2";59,7;57;11988;8,29;8,22;4,93
"52059";0,7;"Very Good";"F";"SI1";59,2;60;2453;5,77;5,79;3,42
"50178";0,71;"Very Good";"F";"SI1";62,1;58;2221;5,64;5,72;3,53
"53617";0,3;"Very Good";"D";"SI1";62,1;58;552;4,25;4,28;2,65
"26136";1,61;"Ideal";"F";"VS2";62,9;56;15426;7,52;7,46;4,71
"7566";1,02;"Very Good";"H";"SI2";63,4;54;4252;6,37;6,43;4,06
"38454";0,31;"Premium";"F";"VVS1";59,7;59;1028;4,49;4,45;2,67
"43906";0,33;"Ideal";"H";"SI1";60,9;56;511;4,5;4,53;2,75
"29088";0,34;"Ideal";"H";"VS2";60,5;56;689;4,58;4,54;2,76
"22059";1,51;"Good";"G";"SI1";63,3;58;10085;7,2;7,26;4,58
"43998";0,3;"Good";"F";"SI2";63,3;55;394;4,29;4,33;2,73
"48096";0,51;"Ideal";"G";"VVS1";60,4;57;1933;5,2;5,22;3,15
"31202";0,32;"Premium";"D";"SI1";58,3;58;756;4,54;4,49;2,63
"13198";1,02;"Very Good";"H";"SI1";61;59;5455;6,48;6,53;3,97
"16070";1,02;"Ideal";"G";"VS2";60,4;57;6416;6,55;6,53;3,95
"16897";1,13;"Premium";"G";"VS2";62,5;58;6743;6,69;6,59;4,15
"7612";0,9;"Premium";"E";"SI1";62,2;59;4259;6,21;6,16;3,88
"10226";1,11;"Premium";"I";"VS2";58,3;60;4744;6,84;6,78;3,97
"25041";0,3;"Premium";"F";"SI1";62,1;60;641;4,28;4,26;2,65
"21048";0,31;"Ideal";"H";"VVS2";62,4;57;625;4,32;4,36;2,71
"623";0,7;"Ideal";"F";"SI1";61;56;2840;5,75;5,8;3,52
"46882";0,56;"Ideal";"H";"VVS2";60,9;57;1814;5,38;5,33;3,26
"24186";2,31;"Very Good";"J";"SI2";60,7;63;12369;8,52;8,48;5,16
"33635";0,37;"Ideal";"E";"SI1";61,9;56;833;4,6;4,57;2,84
"31007";0,29;"Ideal";"F";"IF";61,9;56;748;4,27;4,3;2,65
"42390";0,52;"Premium";"G";"SI1";59,7;60;1306;5,22;5,2;3,11
"12551";1,34;"Ideal";"J";"SI2";62,5;57;5273;7;7,08;4,4
"19965";1,59;"Very Good";"J";"VS1";60,1;60;8515;7,56;7,59;4,55
"23987";1,52;"Premium";"G";"VS2";62,9;60;12148;7,31;7,28;4,59
"41488";0,52;"Ideal";"I";"VS2";61,9;58;1232;5,14;5,17;3,19
"14791";1,02;"Good";"G";"VS1";64,3;57;5951;6,28;6,34;4,06
"48113";0,5;"Ideal";"G";"VVS2";62,9;57;1935;5,11;5,04;3,19
"35962";0,31;"Ideal";"J";"VVS2";60,3;60;476;4,4;4,45;2,67
"34469";0,41;"Very Good";"E";"VS2";59,7;58;866;4,79;4,82;2,87
"533";0,7;"Premium";"E";"VS1";59,4;61;2826;5,78;5,74;3,42
"12651";1,22;"Ideal";"G";"SI2";62,3;57;5296;6,85;6,8;4,25
