"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"18051";0,35;"Ideal";"G";"VS2";62,5;53;615;4,53;4,56;2,84
"39176";0,35;"Ideal";"D";"VS2";60,6;56;1063;4,57;4,54;2,76
"45071";0,46;"Ideal";"F";"VS1";61,7;56;1643;4,93;4,96;3,05
"11807";1,01;"Premium";"H";"SI1";62,3;58;5090;6,44;6,4;4
"35825";0,48;"Good";"G";"SI1";64,7;58;914;4,84;4,93;3,16
"178";0,72;"Very Good";"G";"VS2";63,7;56,4;2776;5,62;5,69;3,61
"37839";0,33;"Ideal";"D";"VS2";62,1;54;1002;4,46;4,43;2,76
"14134";1,01;"Very Good";"D";"SI1";62,9;58;5731;6,33;6,38;4
"16860";1,22;"Ideal";"H";"SI1";62,2;54;6727;6,83;6,86;4,26
"44729";0,56;"Ideal";"I";"VVS1";61,5;55;1616;5,33;5,37;3,29
"43466";0,56;"Ideal";"G";"SI1";62,1;55;1417;5,29;5,33;3,3
"21027";1,51;"Good";"I";"SI1";63,9;59;9234;7,26;7,18;4,61
"40438";0,36;"Ideal";"F";"IF";61,4;55,9;1138;4,58;4,62;2,82
"53349";0,7;"Fair";"G";"VS2";64,4;56;2657;5,64;5,57;3,61
"28932";0,3;"Good";"G";"VVS2";63,2;57;684;4,23;4,28;2,69
"1036";0,53;"Ideal";"D";"VVS1";62,5;54;2905;5,16;5,21;3,24
"19616";1,11;"Ideal";"F";"VS2";60,9;57;8233;6,69;6,75;4,09
"13510";1,01;"Very Good";"D";"SI1";63,1;60;5543;6,39;6,32;4,01
"10043";0,26;"Very Good";"G";"VS1";62,1;56;418;4,07;4,11;2,54
"10375";1,19;"Premium";"I";"SI1";62,2;58;4777;6,73;6,77;4,2
"5789";1,01;"Premium";"F";"SI2";61,1;57;3903;6,48;6,44;3,95
"52110";0,7;"Good";"D";"SI2";59,3;60;2461;5,74;5,8;3,42
"4404";0,31;"Premium";"I";"VVS1";61;58;571;4,33;4,39;2,66
"26473";1,56;"Ideal";"G";"VS1";61,3;56;16052;7,48;7,44;4,57
"13380";0,32;"Ideal";"H";"SI2";61,9;54;420;4,42;4,46;2,75
"20171";1,02;"Very Good";"G";"IF";62,3;59;8624;6,36;6,45;3,99
"33801";0,4;"Very Good";"F";"VS2";62,9;57;842;4,69;4,72;2,96
"44394";0,51;"Ideal";"F";"VS2";60,6;57;1583;5,17;5,2;3,14
"14983";1,16;"Ideal";"H";"SI1";62,2;54;6036;6,72;6,75;4,19
"2918";0,91;"Good";"G";"SI1";64,3;60;3286;6,12;6,04;3,91
"37581";0,35;"Ideal";"D";"VS1";63;57;990;4,51;4,48;2,83
"3350";0,91;"Premium";"E";"SI2";58,5;60;3379;6,34;6,31;3,7
"30289";0,3;"Premium";"D";"SI2";60,9;58;447;4,29;4,32;2,62
"6748";0,33;"Very Good";"E";"SI1";60,3;60;579;4,47;4,49;2,7
"11869";1,16;"Ideal";"I";"SI1";62,4;57;5107;6,71;6,75;4,2
"24178";1,72;"Very Good";"D";"SI2";63,4;62;12360;7,59;7,53;4,79
"26712";0,32;"Premium";"F";"VS2";62,1;59;645;4,35;4,41;2,72
"48767";0,5;"Ideal";"F";"VVS1";62;58;2018;5,06;5,07;3,14
"29849";0,3;"Premium";"D";"VS2";61,7;58;710;4,3;4,32;2,66
"45274";0,54;"Very Good";"F";"VS2";59,4;57;1662;5,29;5,35;3,16
"11689";1,07;"Ideal";"H";"VS1";60,2;57;5063;6,61;6,55;3,96
"17452";1,01;"Ideal";"D";"VS2";59,8;56;6999;6,49;6,52;3,89
"47671";0,51;"Ideal";"D";"VS2";61,5;57;1882;5,14;5,11;3,15
