"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"11089";1,15;"Ideal";"G";"SI2";62,3;56;4927;6,75;6,67;4,18
"46510";0,57;"Ideal";"I";"IF";61;55;1779;5,38;5,41;3,29
"30097";0,32;"Ideal";"H";"VS1";61,5;57;720;4,42;4,4;2,71
"8655";1,03;"Ideal";"F";"SI2";61,8;56;4454;6,49;6,46;4
"35072";0,32;"Very Good";"F";"VVS1";62,2;55;886;4,39;4,43;2,74
"53669";0,71;"Very Good";"F";"VS2";61,3;56;2709;5,7;5,76;3,51
"27098";2,01;"Premium";"H";"SI1";62,3;58;17235;8,04;7,99;4,99
"48330";0,34;"Premium";"H";"SI2";58,6;62;536;4,62;4,6;2,7
"7646";1,21;"Premium";"J";"VS2";62,4;58;4268;6,83;6,79;4,25
"30240";0,33;"Ideal";"E";"VS2";62,3;57;723;4,37;4,43;2,74
"45082";0,55;"Ideal";"D";"VS2";61;56;1645;5,28;5,31;3,23
"9145";1,01;"Very Good";"D";"SI2";63,5;61;4538;6,37;6,33;4,03
"24167";1,37;"Ideal";"G";"VVS1";62,6;55;12342;7,07;7,12;4,44
"7261";1,05;"Premium";"G";"SI2";61,8;60;4198;6,49;6,46;4
"5101";1,01;"Good";"J";"SI2";59,5;62;3756;6,42;6,46;3,83
"14902";1,26;"Very Good";"F";"SI2";63,4;55;5998;6,92;6,9;4,38
"12599";1,09;"Premium";"F";"SI1";62,7;58;5287;6,51;6,56;4,1
"37084";0,41;"Premium";"E";"SI1";61;59;969;4,82;4,78;2,93
"27523";2,53;"Premium";"H";"SI1";62,1;59;18254;8,83;8,73;5,45
"15345";1,01;"Premium";"F";"VS2";60,7;60;6159;6,51;6,58;3,97
"10249";1,01;"Good";"H";"SI1";63,7;60;4749;6,3;6,35;4,03
"46709";0,7;"Good";"F";"SI2";64,1;58;1792;5,58;5,53;3,56
"52646";0,24;"Very Good";"E";"VVS2";60;57;552;4,07;4,1;2,45
"30601";0,3;"Very Good";"D";"SI2";62,9;58;447;4,26;4,29;2,69
"7744";1,24;"Premium";"E";"SI2";60,8;57;4278;6,98;6,94;4,23
"29642";0,35;"Premium";"F";"VS2";62;59;706;4,51;4,55;2,81
"23321";1,55;"Good";"H";"VS2";61;61;11364;7,42;7,47;4,54
"25339";2,3;"Premium";"H";"SI2";60,6;59;14042;8,4;8,37;5,08
"27001";1,56;"Ideal";"F";"VS2";62;55;17108;7,41;7,45;4,61
"52610";0,75;"Very Good";"G";"SI1";60,9;58;2545;5,84;5,88;3,57
"47661";0,23;"Very Good";"E";"VVS1";61,3;60;530;3,95;4,01;2,44
"22238";1,5;"Premium";"H";"VS2";62,2;58;10291;7,27;7,36;4,55
"12559";1,12;"Ideal";"F";"SI2";61,8;56;5277;6,65;6,68;4,12
"44958";0,58;"Ideal";"E";"SI1";61,5;55;1636;5,34;5,39;3,3
"9372";0,32;"Premium";"D";"SI1";61,3;60;589;4,41;4,43;2,71
"4634";1,03;"Premium";"F";"SI2";62,2;60;3668;6,47;6,45;4,02
"12270";1;"Good";"H";"VS2";56,9;63;5208;6,6;6,57;3,75
"44194";0,51;"Premium";"F";"VS2";62,1;58;1569;5,09;5,12;3,17
"42711";0,56;"Ideal";"F";"SI1";61,4;57;1340;5,28;5,3;3,25
"18618";1,06;"Ideal";"G";"VS1";61,6;56;7594;6,53;6,57;4,04
"9640";1,17;"Good";"D";"SI2";57,8;62;4639;6,97;6,91;4,01
"39436";0,41;"Ideal";"D";"VS2";62,2;54;1076;4,81;4,77;2,98
"22612";1,7;"Premium";"I";"VS2";62,7;58;10662;7,57;7,52;4,73
"24454";2,03;"Ideal";"J";"SI2";62,1;57;12716;8,06;8,12;5,02
"50303";0,27;"Very Good";"D";"VVS1";61;61;544;4,14;4,15;2,53
"4575";0,76;"Ideal";"E";"VS1";60,5;56;3649;5,94;5,99;3,61
"4996";0,7;"Ideal";"F";"VVS2";61,9;54,8;3741;5,68;5,72;3,53
"32605";0,31;"Premium";"F";"VS2";59;59;802;4,47;4,44;2,63
"10184";1,22;"Premium";"I";"SI2";61,7;59;4735;6,84;6,8;4,21
"13418";1,5;"Ideal";"I";"I1";61,8;57;5510;7,39;7,31;4,54
"16350";1,01;"Very Good";"F";"VS2";63,2;59;6540;6,3;6,36;4
"44599";0,53;"Ideal";"G";"VS2";62,5;56;1607;5,2;5,17;3,24
"2672";0,7;"Ideal";"E";"VVS2";62,8;56;3238;5,68;5,6;3,54
"10458";1;"Premium";"H";"SI1";62,7;59;4788;6,37;6,3;3,97
"29349";0,31;"Ideal";"G";"VS2";61,4;56;698;4,36;4,34;2,67
"1893";0,79;"Ideal";"E";"SI1";62,9;55;3075;5,93;5,86;3,71
"928";0,54;"Ideal";"F";"VVS1";61,8;56;2882;5,23;5,26;3,24
"10080";0,33;"Ideal";"H";"VS1";62,2;53,3;592;4,45;4,48;2,77
"17486";1,27;"Ideal";"E";"SI2";60,8;57;7023;7;7,02;4,26
"14546";1,07;"Ideal";"D";"SI1";61,8;55;5872;6,59;6,54;4,06
"9556";1,1;"Ideal";"H";"SI2";62;55;4620;6,62;6,6;4,1
"10483";1,25;"Ideal";"I";"VS2";60;57;4795;7,07;7,02;4,23
"11889";1,01;"Very Good";"G";"SI1";63,2;59;5113;6,36;6,32;4,01
"20824";1,3;"Premium";"G";"VS2";60,9;60;9051;6,99;7,04;4,27
"44465";0,52;"Ideal";"H";"VS2";60,3;57;1593;5,21;5,23;3,15
"14143";1,22;"Premium";"G";"SI2";60,5;58;5739;6,96;6,92;4,2
"38586";0,41;"Ideal";"F";"VVS2";62,1;55;1036;4,77;4,79;2,97
