"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"41774";0,55;"Premium";"H";"SI2";62,4;56;1246;5,23;5,2;3,25
"336";0,71;"Premium";"F";"VS2";58;62;2803;5,85;5,81;3,38
"5508";1,01;"Premium";"F";"SI2";61,7;58;3846;6,46;6,41;3,97
"35321";0,31;"Very Good";"F";"VVS1";62,4;60;897;4,28;4,31;2,68
"29447";0,34;"Ideal";"E";"VS2";61,5;56;702;4,48;4,5;2,76
"45369";0,52;"Ideal";"G";"VS1";61,7;57;1665;5,16;5,18;3,19
"42478";0,5;"Very Good";"D";"SI1";61,6;59;1318;5,12;5,14;3,16
"47755";0,54;"Premium";"D";"VS2";61,5;58;1892;5,21;5,26;3,22
"39510";0,32;"Ideal";"F";"IF";62,2;55;1080;4,4;4,38;2,73
"33852";0,3;"Premium";"F";"VS1";60,5;60;844;4,31;4,29;2,6
"46593";0,54;"Premium";"F";"VS2";59,5;58;1786;5,36;5,29;3,17
"1752";0,81;"Good";"I";"VS1";59,4;56;3042;5,97;6,11;3,59
"9026";1;"Very Good";"I";"VS1";63,3;55;4516;6,39;6,34;4,03
"3131";0,9;"Premium";"G";"SI2";59,5;61;3326;6,33;6,28;3,75
"14509";1,01;"Premium";"D";"SI1";61,5;59;5860;6,46;6,39;3,95
"25907";2,07;"Ideal";"H";"SI2";62,3;59;15036;8,1;8,14;5,06
"8612";0,84;"Very Good";"D";"VS1";60,6;57;4443;6,06;6,15;3,7
"34009";0,3;"Premium";"D";"VS1";59,4;60;848;4,38;4,34;2,59
"38155";0,36;"Premium";"E";"VS2";62;58;1013;4,56;4,54;2,82
"49172";0,7;"Very Good";"H";"VS2";62,2;56;2074;5,69;5,75;3,56
"2219";0,71;"Very Good";"D";"VS1";58,1;62;3145;5,84;5,89;3,41
"14335";0,92;"Ideal";"F";"VS2";61,2;56;5805;6,25;6,3;3,84
"33552";0,42;"Ideal";"H";"VS1";61,8;55;830;4,82;4,85;2,99
"15879";1,26;"Ideal";"I";"VS2";62,6;55;6350;6,96;6,91;4,34
"19025";0,27;"Ideal";"F";"VVS1";61;57;620;4,2;4,22;2,57
"22237";1,5;"Good";"H";"VS2";61,2;61;10291;7,25;7,32;4,46
"16571";1,01;"Premium";"G";"VS1";60,2;59;6618;6,58;6,51;3,94
"25216";1,82;"Premium";"I";"VS1";61,4;60;13813;7,8;7,83;4,8
"53096";0,75;"Ideal";"I";"VS1";63;57;2613;5,8;5,82;3,66
"52166";0,8;"Good";"H";"SI2";58,4;61;2474;6,02;6,06;3,53
"14776";1,01;"Ideal";"G";"VS2";62,4;56;5946;6,42;6,39;4
"7810";0,56;"Ideal";"D";"IF";61,9;57;4293;5,28;5,31;3,28
"43617";0,34;"Very Good";"G";"SI1";61,5;56;507;4,45;4,52;2,76
"21782";2,05;"Premium";"I";"SI2";62,1;59;9850;8,13;8,07;5,03
"6866";0,9;"Ideal";"D";"VS2";61,5;56;4128;6,25;6,2;3,83
"25410";2,23;"Premium";"J";"SI1";62,4;59;14129;8,33;8,36;5,21
"1438";0,9;"Good";"H";"SI1";64,2;60;2974;6,05;6,02;3,87
"2952";0,74;"Premium";"D";"VS2";58;59;3294;6;5,93;3,46
"39116";0,41;"Ideal";"G";"VS2";60,9;57;1061;4,84;4,79;2,93
"35104";0,3;"Ideal";"F";"IF";61,8;55;886;4,32;4,35;2,68
"49096";0,71;"Very Good";"I";"SI1";60,2;58;2063;5,76;5,83;3,49
"36234";0,42;"Ideal";"G";"VVS2";60,6;56;933;4,86;4,88;2,95
"44220";0,57;"Ideal";"F";"SI1";61,6;57;1571;5,37;5,34;3,3
"9215";1,07;"Fair";"F";"SI1";60,6;66;4554;6,65;6,46;3,97
"49703";0,71;"Very Good";"G";"SI1";63,2;58;2147;5,68;5,65;3,58
"35117";0,3;"Ideal";"F";"IF";62,3;55;886;4,29;4,31;2,68
"12959";1,21;"Ideal";"I";"VS2";62,3;58;5387;6,79;6,75;4,22
"13465";1,21;"Premium";"G";"SI2";60,3;58;5529;6,96;6,9;4,18
"19504";1,7;"Good";"J";"VS2";63,6;59;8134;7,53;7,48;4,77
"16761";1,06;"Premium";"F";"VS2";61,8;60;6673;6,58;6,53;4,05
"45146";0,5;"Ideal";"F";"VS2";62,9;55;1654;5,1;5,07;3,2
"14074";1,02;"Very Good";"D";"SI1";62,7;60;5709;6,34;6,39;3,99
"4569";0,77;"Ideal";"F";"VS1";61,2;56;3647;5,9;5,93;3,62
"37683";0,38;"Ideal";"G";"VVS1";61,7;55;993;4,67;4,7;2,89
"26497";2,31;"Premium";"J";"VVS1";62,1;58;16100;8,49;8,42;5,25
"1391";0,24;"Ideal";"G";"VVS1";62;55;559;4,01;4,03;2,49
"39283";0,3;"Ideal";"H";"VS2";62,4;54;491;4,31;4,34;2,7
"44723";0,54;"Ideal";"F";"VS2";61;56;1615;5,27;5,32;3,23
"47754";0,54;"Ideal";"D";"VS2";62,6;57;1892;5,18;5,24;3,26
"22968";1,59;"Very Good";"I";"VS1";61,2;57,8;11018;7,5;7,52;4,6
"9829";1,01;"Good";"G";"SI1";63,6;57;4672;6,37;6,33;4,04
"1198";0,71;"Ideal";"D";"SI2";62;54;2934;5,77;5,74;3,57
"32257";0,3;"Ideal";"G";"VVS1";62,6;54;789;4,25;4,28;2,67
"10772";1,01;"Very Good";"H";"SI1";61,8;60;4855;6,38;6,44;3,96
"33420";0,32;"Ideal";"H";"VVS2";62,9;57;828;4,39;4,36;2,75
"48040";0,79;"Premium";"J";"SI1";58,8;62;1924;6,03;6,01;3,54
"37667";0,42;"Premium";"E";"SI1";62,5;55;992;4,83;4,8;3,01
"27099";2,05;"Premium";"E";"SI2";59,7;59;17237;8,39;8,27;4,97
"25406";2,06;"Ideal";"I";"SI2";62,4;55;14120;8,1;8,14;5,07
"16160";1,5;"Premium";"H";"SI2";62,1;58;6458;7,31;7,21;4,51
"42212";0,52;"Very Good";"D";"SI2";62,4;59;1289;5,05;5,15;3,18
"29033";0,31;"Ideal";"H";"VVS1";62,3;53;687;4,35;4,38;2,72
"8912";1;"Good";"G";"SI2";61,7;63;4493;6,36;6,37;3,93
"7372";1,03;"Ideal";"J";"SI1";62,1;55;4221;6,46;6,51;4,03
"35133";0,41;"Very Good";"G";"VVS2";59,1;60;889;4,84;4,87;2,87
"6794";0,9;"Good";"I";"VVS1";63,6;58;4114;6,14;6,1;3,89
"16820";1,04;"Premium";"G";"VS2";60,1;59;6709;6,59;6,56;3,95
"30516";0,31;"Good";"D";"SI1";63,9;54;732;4,3;4,27;2,74
"8337";1,01;"Premium";"G";"SI1";58,8;58;4395;6,59;6,51;3,85
"1009";0,79;"Ideal";"G";"SI1";62,3;57;2898;5,9;5,85;3,66
"42531";0,4;"Ideal";"F";"VVS1";62,5;57;1323;4,75;4,72;2,96
"33306";0,33;"Ideal";"H";"VVS2";61,3;56;827;4,43;4,47;2,73
"12185";1,21;"Premium";"G";"SI2";59,1;55;5184;7,04;6,98;4,14
"32215";0,31;"Ideal";"G";"VVS1";61,5;55;789;4,39;4,42;2,71
"49929";0,7;"Premium";"F";"SI2";62,9;60;2184;5,57;5,49;3,48
"52088";0,71;"Premium";"F";"SI1";62,3;57;2458;5,73;5,66;3,55
"36400";0,31;"Ideal";"E";"VS1";61,8;56;942;4,37;4,34;2,69
"1299";0,71;"Very Good";"E";"VS2";59,6;60;2954;5,8;5,85;3,47
"3798";0,71;"Ideal";"E";"VS1";60,4;57;3464;5,75;5,81;3,49
"37388";0,4;"Ideal";"D";"VS2";61,3;56;982;4,74;4,79;2,92
"48014";0,56;"Good";"E";"VS2";62,3;63;1920;5,22;5,27;3,27
"43690";0,5;"Very Good";"D";"SI1";58,5;60;1436;5,13;5,19;3,02
"26117";2,06;"Premium";"I";"VS1";58,4;55;15393;8,42;8,35;4,9
"36433";0,31;"Ideal";"D";"VS2";62;55;942;4,38;4,36;2,71
"33269";0,3;"Ideal";"G";"IF";62,6;54;826;4,3;4,33;2,7
"51933";0,74;"Ideal";"I";"VS1";62,1;56;2440;5,75;5,82;3,59
"19605";1,04;"Very Good";"G";"IF";61,7;58;8225;6,47;6,6;4,03
"12633";1;"Premium";"F";"SI1";60,3;58;5292;6,47;6,43;3,89
"42751";0,51;"Very Good";"H";"VS1";62,5;58;1343;5,09;5,12;3,19
"5589";0,92;"Premium";"F";"SI2";59,3;61;3864;6,36;6,29;3,75
"48630";0,77;"Very Good";"J";"SI2";61,3;58;2001;5,84;5,91;3,6
"39367";0,36;"Premium";"G";"IF";61;59;1074;4,55;4,6;2,79
"27854";0,3;"Ideal";"E";"VS2";62,1;53,6;652;4,3;4,35;2,69
"48031";0,75;"Ideal";"J";"VS2";62,3;57;1923;5,81;5,84;3,63
"41455";0,52;"Ideal";"E";"SI2";62,9;56;1229;5,15;5,12;3,23
"15553";1,28;"Premium";"G";"SI2";62,6;58;6236;6,94;6,89;4,33
"46546";0,51;"Ideal";"E";"VS2";61,8;56;1781;5,14;5,12;3,17
"30281";0,3;"Very Good";"G";"SI1";61;57;447;4,31;4,34;2,64
"1183";0,9;"Very Good";"E";"SI2";58,7;63;2930;6,23;6,2;3,65
"5701";0,3;"Very Good";"D";"SI2";63,4;56;574;4,29;4,26;2,71
"35435";0,32;"Ideal";"E";"VS2";62;55;900;4,46;4,38;2,74
"32799";0,39;"Ideal";"I";"VVS1";60,8;56;805;4,76;4,78;2,9
"38097";0,36;"Premium";"E";"VS2";59,3;59;1013;4,68;4,6;2,75
"40669";0,44;"Premium";"G";"VVS2";60,9;57;1155;4,93;4,89;2,99
"39970";0,5;"Very Good";"F";"SI1";63,1;61;1106;5,06;4,98;3,17
"44003";0,3;"Good";"I";"SI1";63,5;57;394;4,24;4,26;2,7
"24230";1,62;"Good";"H";"VS2";61,5;60,8;12429;7,48;7,53;4,62
"3730";0,36;"Very Good";"H";"VS2";60;62;568;4,58;4,62;2,76
"29884";0,3;"Ideal";"D";"VS2";62,2;54;710;4,28;4,31;2,67
"35519";0,43;"Very Good";"F";"VS2";61,6;59;905;4,78;4,87;2,97
"26252";2,05;"Very Good";"H";"VS2";63,5;62;15701;8,05;7,91;5,07
"32755";0,34;"Very Good";"D";"SI1";63,1;57;803;4,46;4,44;2,81
"10959";1,02;"Very Good";"E";"SI1";60,5;63;4901;6,54;6,48;3,94
"42109";0,65;"Ideal";"J";"SI1";61,4;55;1276;5,58;5,62;3,44
"34381";0,41;"Very Good";"I";"VVS1";59,8;61;863;4,79;4,84;2,88
"12844";1,25;"Ideal";"I";"SI2";62;57;5355;6,92;6,85;4,27
"47588";0,51;"Ideal";"H";"VVS2";61,6;55;1877;5,11;5,14;3,16
"47385";0,54;"Ideal";"E";"VS2";60,5;56;1847;5,28;5,26;3,19
"28905";0,3;"Very Good";"H";"VVS1";62,6;60;684;4,21;4,26;2,65
"2074";0,76;"Premium";"E";"VS2";60,3;60;3107;5,97;5,94;3,59
"12161";1,07;"Premium";"G";"VS2";59,8;58;5177;6,67;6,63;3,98
"16999";1,01;"Premium";"G";"VS1";60,3;58;6787;6,56;6,5;3,94
"5144";1;"Very Good";"E";"SI2";63,5;56;3763;6,37;6,3;4,02
"22922";1,25;"Very Good";"G";"VVS1";60,6;60;10962;6,92;6,95;4,2
"49277";0,54;"Ideal";"G";"VVS2";61,4;55;2090;5,3;5,22;3,23
"11580";0,9;"Very Good";"D";"SI1";60,6;59;5040;6,23;6,28;3,79
"20422";1,09;"Ideal";"G";"VVS1";62,1;55;8778;6,58;6,63;4,1
"23967";1,18;"Very Good";"E";"VVS2";61,5;58;12100;6,78;6,87;4,2
"22654";1,1;"Very Good";"F";"VVS1";59,8;54;10701;6,74;6,77;4,04
"28826";0,41;"Very Good";"H";"SI1";62,8;56;683;4,72;4,77;2,98
"51349";0,75;"Fair";"F";"SI1";64,5;60;2363;5,65;5,54;3,61
"44915";0,53;"Premium";"D";"SI1";61;58;1631;5,18;5,22;3,17
"52299";0,32;"Very Good";"G";"VS2";59,9;59;548;4,46;4,48;2,67
"23605";1,54;"Premium";"H";"VS2";62,1;62;11632;7,38;7,31;4,56
